mpID,wyckoff,number_of_atoms,equivalent_wyckoff_labels_number,synthesisability
icsd-138223,ABC3_oP20_62_a_c_cd:Cr-Ho-O,20,4,1
icsd-145713,A3B_cP8_223_c_a:Cr-Ga,8,2,1
icsd-144801,A_cF4_225_a:La,4,1,1
icsd-149730,AB_cF8_225_a_b:Cr-N,8,2,1
icsd-144786,AB_cP2_221_a_b:C-La,2,2,1
icsd-68954,A2BC4D_oP32_29_2a_a_4a_a:F-Hf-O-S,32,8,1
icsd_116743,AB3C9D_hP28_173_a_c_3c_b:B-Bi-O-Te,28,6,1
icsd-126513,A6B_cP7_221_e_b:B-Ce,7,2,1
icsd-175521,A6BC2_cF36_225_e_a_c:Br-Pt-Rb,36,3,1
icsd-138448,A3BC5_hR108_155_2f_ae_cde2f:Ga-Na-Te,108,9,1
icsd_116606,AB4C2D10E2_mP38_14_a_2e_e_5e_e:Cu-H-Na-O-S,38,10,1
icsd-145528,AB4C_hP18_180_c_k_d:Ca-O-S,18,3,1
icsd-175464,A3B4C_oP32_62_cd_2cd_c:Cs-O-Ta,32,6,1
icsd-64561,A4B4C15_mP92_14_4e_4e_15e:I-Nb-Se,92,23,1
icsd-201320,A2B7C2_mC22_12_i_aij_h:Ge-O-Sc,22,5,1
icsd-70522,A4B3CD12_hR60_166_2c_ac_b_2h:Ba-Mn-Nb-O,60,7,1
icsd-177770,A2B6CD6_oP60_19_2a_6a_a_6a:Ge-Na-O-S,60,15,1
icsd-148033,A4B4CD6E16_cP31_215_e_e_a_cd_ei:C-Li-Mo-Na-O,31,7,1
icsd-49136,A2BC2_tI10_139_e_a_e:Bi-Se-Te,10,3,1
icsd-129170,A2B12C32DE4_mP102_14_e_6e_16e_a_2e:Br-C-H-Mn-O,102,26,1
icsd_84534,A3BC_oP20_62_cd_c_a:Br-Cs-Pb,20,4,1
icsd_115753,A3BC4_cI16_217_b_a_c:Na-Sb-Se,16,3,1
icsd-82931,ABCD2E_mP72_14_3e_3e_3e_6e_3e:Ag-H-N-O-P,72,18,1
icsd-144440,A9BC2_tP24_131_aikn_f_j:Ga-Ge-Re,24,6,1
icsd-146187,ABC2_hR12_166_a_b_c:Co-Li-O,12,3,1
icsd_124848,AB4C2D_hP216_144_9a_36a_18a_9a:C-H-N-Se,216,72,1
icsd-128624,A7B2C2_cF88_227_af_c_d:O-Sm-Ti,88,4,1
icsd_136875,AB2C6D2_hR33_166_a_c_h_c:Fe-N-O-S,33,4,1
icsd-138274,AB16C4DE5_mC108_15_e_8f_2f_e_e2f:Li-O-P-Rb-Zn,108,15,1
icsd-145314,A2B2C5D3_oP48_19_2a_2a_5a_3a:Al-Cl-O-Sr,48,12,1
icsd-145363,A7B3_oC40_63_c3f_cf:Ge-Re,40,6,1
icsd-50225,A3B3C2D12_cI160_230_d_c_a_h:Ga-Gd-In-O,160,4,1
icsd-138203,A2BC3D8_mP56_14_2e_e_3e_8e:Cs-Fe-Ge-S,56,14,1
icsd-145733,A5BC_oP28_62_a2cd_c_c:O-Ta-V,28,6,1
icsd-144821,AB3C_hR30_148_c_f_c:Mg-O-Ti,30,3,1
icsd-175385,A8BC3_oC192_64_2f7g_ef_c2dfg:O-Pr-Si,192,16,1
icsd-144572,A2B3C3D8E2_oP72_60_d_cd_cd_4d_d:Al-B-F-O-Pb,72,10,1
icsd_136551,A14B24C3_mP164_14_14e_24e_3e:B-O-Sr,164,41,1
icsd-48245,AB12C3D2_hR108_167_b_2f_e_c:Na-O-P-Zr,108,5,1
icsd-139107,ABC2_mP16_14_e_e_2e:B-Li-O,16,4,1
icsd-45861,A4B3_oP28_58_4g_3g:In-Se,28,7,1
icsd_123616,ABC4_aP12_2_i_i_4i:Cs-Cu-S,12,6,1
icsd_124429,A4B2C10D_mP34_14_2e_e_5e_a:H-N-O-Pu,34,9,1
